,treino,previsto
gamma1,[0.5227993107629365],[0.5227254629135132]
gamma2,[0.9447007551242456],[0.9442151188850403]
gamma3,[0.8818001335022669],[0.8814961910247803]
gamma4,[0.37096067220875817],[0.37087345123291016]
JXX,[-0.8451564322933918],[-0.8448256254196167]
JXY,[-0.5727664210700234],[-0.572512149810791]
JXZ,[-0.39374332579442917],[-0.3935272991657257]
JYX,[0.8004273658662282],[0.8000802993774414]
JYY,[-0.00749501549718401],[-0.007493840530514717]
JYZ,[0.4404811417840462],[0.44031164050102234]
JZX,[-0.7995292644989436],[-0.799356997013092]
JZY,[0.01785411432893702],[0.017809081822633743]
JZZ,[0.686145857826806],[0.6860392093658447]
