,treino,previsto
gamma1,[0.4105259240114544],[0.4134071171283722]
gamma2,[0.3800892996387989],[0.40578004717826843]
gamma3,[0.3998964924293077],[0.40259143710136414]
gamma4,[0.07255160439549668],[0.06421922147274017]
JXX,[0.819538475847744],[0.8728041648864746]
JXY,[-0.41184191848264295],[-0.41812729835510254]
JXZ,[-0.08113224133756103],[-0.06375664472579956]
JYX,[-0.7272825789128776],[-0.7287797331809998]
JYY,[0.9901214406925392],[1.0301649570465088]
JYZ,[-0.6907120075849054],[-0.7115842700004578]
JZX,[0.3478791069281282],[0.367285817861557]
JZY,[0.19605110908336165],[0.21584133803844452]
JZZ,[0.4292474339778447],[0.4747859537601471]
