,treino,previsto
gamma1,[0.32777281162209315],[0.3366256654262543]
gamma2,[0.24999667668640035],[0.3215399384498596]
gamma3,[0.9528169091459117],[0.9569514989852905]
gamma4,[0.9965569925394552],[0.8274044394493103]
JXX,[0.142805189379827],[-0.013842463493347168]
JXY,[-0.14222189064977075],[-0.22798196971416473]
JXZ,[0.15618260226894076],[0.4260197877883911]
JYX,[-0.5878035357209965],[-0.5174291729927063]
JYY,[0.6266425027146401],[0.4467906951904297]
JYZ,[0.647177745066891],[0.6463801860809326]
JZX,[0.30694506780235153],[0.23609495162963867]
JZY,[-0.6795408869623607],[-0.6664450168609619]
JZZ,[0.04133871927984911],[-0.17203755676746368]
