,treino,previsto
gamma1,[0.7929768725199526],[0.8881257176399231]
gamma2,[0.09412345622921847],[0.06156390905380249]
gamma3,[0.3034012626245255],[0.317609041929245]
gamma4,[0.0906705374918394],[0.07937562465667725]
JXX,[-0.09524089298036276],[-0.06934133172035217]
JXY,[0.11954477216099191],[0.20953145623207092]
JXZ,[0.8484211680474587],[0.892372727394104]
JYX,[-0.06869985980045334],[-0.2367704212665558]
JYY,[0.01568254612454223],[-0.012971368618309498]
JYZ,[0.1747696576997939],[0.2664095461368561]
JZX,[-0.6306793122902468],[-0.5982342958450317]
JZY,[0.023817278083611004],[-0.03618883341550827]
JZZ,[0.25976544043360383],[0.4210287034511566]
