,treino,previsto
gamma1,[0.6489745531369242],[0.6225993633270264]
gamma2,[0.9009004917506227],[1.052966833114624]
gamma3,[0.11320596465314436],[0.07915019989013672]
gamma4,[0.46906904778216374],[0.3105829060077667]
JXX,[0.24580338977940386],[0.30697813630104065]
JXY,[0.4835739785214588],[0.405804306268692]
JXZ,[0.5903871311313933],[0.737812876701355]
JYX,[0.8849005675541006],[0.817663848400116]
JYY,[0.4797971494798614],[0.49243977665901184]
JYZ,[0.844649993330834],[0.902576744556427]
JZX,[-0.9419895434327705],[-0.9008994102478027]
JZY,[-0.0687546912437893],[-0.03953089937567711]
JZZ,[0.8867134339966274],[0.9723206758499146]
