,treino,previsto
gamma1,[0.938376856028435],[0.904371976852417]
gamma2,[0.48927495777210683],[0.5550404191017151]
gamma3,[0.4216392913626552],[0.44251248240470886]
gamma4,[0.6132160618037519],[0.5308406949043274]
JXX,[-0.19204385011266734],[-0.45043236017227173]
JXY,[-0.5998491108501092],[-0.5235941410064697]
JXZ,[-0.6423953588267755],[-0.6188260316848755]
JYX,[-0.5031373629980624],[-0.54916912317276]
JYY,[0.5197548730161559],[0.3105278015136719]
JYZ,[-0.4976979832495598],[-0.4474419057369232]
JZX,[-0.23386483593564344],[-0.1536698192358017]
JZY,[0.3686172768546372],[0.22708800435066223]
JZZ,[0.07725826039666361],[-0.04169224202632904]
