,treino,previsto
gamma1,[0.305900980269444],[0.30069833993911743]
gamma2,[0.4240801565062292],[0.4201414883136749]
gamma3,[0.5885140140252595],[0.6208399534225464]
gamma4,[0.1243916494838736],[0.13284364342689514]
JXX,[-0.24607539521922805],[-0.26429614424705505]
JXY,[0.8535770154526414],[0.8784865736961365]
JXZ,[0.6868934782644844],[0.6701095104217529]
JYX,[-0.5719084600959132],[-0.5600378513336182]
JYY,[0.7434162244908751],[0.7392876744270325]
JYZ,[0.2729234915013832],[0.25906744599342346]
JZX,[-0.9152157476835985],[-0.9422313570976257]
JZY,[0.9059441202489178],[0.9169780015945435]
JZZ,[-0.4886326635670657],[-0.4814702570438385]
