,treino,previsto
gamma1,[0.7406551989400061],[0.7406349778175354]
gamma2,[0.6621666555152632],[0.6621778607368469]
gamma3,[0.13657852434493012],[0.1365639716386795]
gamma4,[0.5356617475477887],[0.5356131792068481]
JXX,[-0.9754435052040491],[-0.975475013256073]
JXY,[-0.7752022778395284],[-0.7751396298408508]
JXZ,[-0.21432527689851488],[-0.2142592817544937]
JYX,[0.3677285469065339],[0.3676624000072479]
JYY,[-0.7226181335707385],[-0.7226734161376953]
JYZ,[-0.7751128742812254],[-0.775122880935669]
JZX,[-0.5363952858520995],[-0.5363956689834595]
JZY,[0.5151849707900231],[0.515138566493988]
JZZ,[-0.7051975580794432],[-0.7051984071731567]
