,treino,previsto
gamma1,[0.9058727273132681],[0.9057871699333191]
gamma2,[0.28867836833405236],[0.28860241174697876]
gamma3,[0.35789010838860724],[0.3578592538833618]
gamma4,[0.30474034460297605],[0.30478742718696594]
JXX,[0.011880827540495353],[0.011911639012396336]
JXY,[-0.09343057367074792],[-0.09343352168798447]
JXZ,[0.11594165163533754],[0.11601141840219498]
JYX,[-0.23155824126417013],[-0.23149597644805908]
JYY,[0.6690422746144482],[0.6689158082008362]
JYZ,[-0.6811824865810532],[-0.6810882687568665]
JZX,[-0.0993246484870236],[-0.0992697924375534]
JZY,[0.5258626616390383],[0.5257858037948608]
JZZ,[0.21218691768397302],[0.21219182014465332]
