,treino,previsto
gamma1,[0.6924227459953175],[0.6554957628250122]
gamma2,[0.21237676835833108],[0.19371509552001953]
gamma3,[0.9711059513537736],[0.9231024980545044]
gamma4,[0.07035548430116423],[0.06739053130149841]
JXX,[0.1623042650091293],[0.139430969953537]
JXY,[-0.6104910089317266],[-0.6585289835929871]
JXZ,[0.9305022141222223],[0.8733497262001038]
JYX,[0.8479528033535886],[0.903892457485199]
JYY,[-0.06572264360605207],[-0.1013035923242569]
JYZ,[0.3269412890601211],[0.36064618825912476]
JZX,[-0.5709540605240639],[-0.5999819040298462]
JZY,[-0.5566075009475187],[-0.5851287841796875]
JZZ,[-0.4229551332374877],[-0.40383508801460266]
