,treino,previsto
gamma1,[0.32777281162209315],[0.32772836089134216]
gamma2,[0.24999667668640035],[0.25000816583633423]
gamma3,[0.9528169091459117],[0.9527214765548706]
gamma4,[0.9965569925394552],[0.9963605999946594]
JXX,[0.142805189379827],[0.14277459681034088]
JXY,[-0.14222189064977075],[-0.1421680450439453]
JXZ,[0.15618260226894076],[0.15624630451202393]
JYX,[-0.5878035357209965],[-0.5877782702445984]
JYY,[0.6266425027146401],[0.6265491843223572]
JYZ,[0.647177745066891],[0.64710932970047]
JZX,[0.30694506780235153],[0.30693110823631287]
JZY,[-0.6795408869623607],[-0.6794371008872986]
JZZ,[0.04133871927984911],[0.041295126080513]
