,treino,previsto
gamma1,[0.7929768725199526],[0.7929882407188416]
gamma2,[0.09412345622921847],[0.09421984106302261]
gamma3,[0.3034012626245255],[0.3034444749355316]
gamma4,[0.0906705374918394],[0.0906798243522644]
JXX,[-0.09524089298036276],[-0.09533628076314926]
JXY,[0.11954477216099191],[0.11950629949569702]
JXZ,[0.8484211680474587],[0.8484065532684326]
JYX,[-0.06869985980045334],[-0.0687270388007164]
JYY,[0.01568254612454223],[0.01570865511894226]
JYZ,[0.1747696576997939],[0.17467842996120453]
JZX,[-0.6306793122902468],[-0.6306562423706055]
JZY,[0.023817278083611004],[0.023789675906300545]
JZZ,[0.25976544043360383],[0.2598418891429901]
