,treino,previsto
gamma1,[0.938376856028435],[0.9381732940673828]
gamma2,[0.48927495777210683],[0.48908135294914246]
gamma3,[0.4216392913626552],[0.4215637445449829]
gamma4,[0.6132160618037519],[0.6131137013435364]
JXX,[-0.19204385011266734],[-0.19204780459403992]
JXY,[-0.5998491108501092],[-0.5998225808143616]
JXZ,[-0.6423953588267755],[-0.6421619653701782]
JYX,[-0.5031373629980624],[-0.50290846824646]
JYY,[0.5197548730161559],[0.519527792930603]
JYZ,[-0.4976979832495598],[-0.4975624978542328]
JZX,[-0.23386483593564344],[-0.2336844503879547]
JZY,[0.3686172768546372],[0.3684232234954834]
JZZ,[0.07725826039666361],[0.07712925225496292]
