,treino,previsto
gamma1,[0.49491787839107704],[0.48721373081207275]
gamma2,[0.468537729401701],[0.48468077182769775]
gamma3,[0.12795722422850875],[0.12879185378551483]
gamma4,[0.7842725419704123],[0.7781063318252563]
JXX,[-0.8583821458818548],[-0.84587562084198]
JXY,[-0.1308244925173181],[-0.1247120052576065]
JXZ,[-0.5075004579580764],[-0.5198949575424194]
JYX,[-0.10862841764031073],[-0.13397659361362457]
JYY,[-0.48782436581795374],[-0.4842117130756378]
JYZ,[0.7229725984230293],[0.7355068325996399]
JZX,[0.12087053202375708],[0.1173040121793747]
JZY,[0.48856793143996136],[0.49815306067466736]
JZZ,[0.8530443734443238],[0.8765432238578796]
