,treino,previsto
gamma1,[0.7314719162578773],[0.7313427925109863]
gamma2,[0.5481151083373056],[0.5480449199676514]
gamma3,[0.6289233814359761],[0.628881573677063]
gamma4,[0.5860643734085744],[0.5860414505004883]
JXX,[-0.512964474581326],[-0.5127812623977661]
JXY,[0.004417979006311912],[0.004430105444043875]
JXZ,[-0.6761249714183881],[-0.6760373711585999]
JYX,[0.6424444316865625],[0.6423448920249939]
JYY,[-0.5372009749323281],[-0.5370239019393921]
JYZ,[0.10465728127714469],[0.10463390499353409]
JZX,[0.8527148495207293],[0.8525978922843933]
JZY,[-0.20524249153897567],[-0.2051600217819214]
JZZ,[0.9357357839289453],[0.935681939125061]
