,treino,previsto
gamma1,[0.10245584696998078],[0.09633529931306839]
gamma2,[0.26380664067454207],[0.2965157628059387]
gamma3,[0.9655730932373155],[0.9078184366226196]
gamma4,[0.48155277761710846],[0.4351743161678314]
JXX,[-0.2963074883442347],[-0.28085851669311523]
JXY,[-0.13962750801980395],[-0.11090248078107834]
JXZ,[-0.0926582728208516],[-0.11030340194702148]
JYX,[-0.31306051824349357],[-0.33272111415863037]
JYY,[0.024888729848817848],[0.019651370123028755]
JYZ,[-0.21516919708905635],[-0.2248295545578003]
JZX,[-0.9181825549143148],[-0.8491160273551941]
JZY,[-0.16293478520770655],[-0.11895278841257095]
JZZ,[-0.9526802754794608],[-0.9256190657615662]
