,treino,previsto
gamma1,[0.9119047595432644],[0.9118103384971619]
gamma2,[0.8785568789303244],[0.8782045245170593]
gamma3,[0.7237390145662357],[0.7236832976341248]
gamma4,[0.056007046220187706],[0.055965080857276917]
JXX,[0.8272859451097823],[0.8270028233528137]
JXY,[-0.7250439608255377],[-0.7249848246574402]
JXZ,[0.11214027252682701],[0.11207880079746246]
JYX,[-0.033955024334235695],[-0.03380890190601349]
JYY,[0.9179608298470616],[0.9176625609397888]
JYZ,[-0.23922049672899326],[-0.2391432523727417]
JZX,[-0.10699918374312611],[-0.10695479065179825]
JZY,[0.1547744383110674],[0.15474563837051392]
JZZ,[-0.23580587094563144],[-0.2357800453901291]
