,treino,previsto
gamma1,[0.4336456836623859],[0.4335380494594574]
gamma2,[0.06985542357461894],[0.06986293941736221]
gamma3,[0.09071301334386506],[0.09066297858953476]
gamma4,[0.42451918914251396],[0.4245528280735016]
JXX,[-0.35233447033367526],[-0.3521844446659088]
JXY,[-0.6983016521509962],[-0.6982336044311523]
JXZ,[0.3018689460797075],[0.301961213350296]
JYX,[-0.8551274266649145],[-0.8552161455154419]
JYY,[0.0717640086133784],[0.07176203280687332]
JYZ,[-0.2686221661748289],[-0.26882022619247437]
JZX,[-0.8840021504505864],[-0.8838962912559509]
JZY,[0.014871466378840514],[0.014951469376683235]
JZZ,[-0.9250086831160302],[-0.9249617457389832]
