,treino,previsto
gamma1,[0.24367290875238423],[0.24362607300281525]
gamma2,[0.6032954889560167],[0.6033309102058411]
gamma3,[0.3705706730496453],[0.3705398738384247]
gamma4,[0.4904333667289672],[0.49046847224235535]
JXX,[-0.8329589576928287],[-0.8329023122787476]
JXY,[-0.6552513842656074],[-0.6551884412765503]
JXZ,[0.3676231008548627],[0.367723286151886]
JYX,[-0.6772806584499753],[-0.6770381331443787]
JYY,[0.8984180459228328],[0.898277759552002]
JYZ,[0.6886560437412614],[0.6887692213058472]
JZX,[0.4847330814617574],[0.4847661554813385]
JZY,[-0.069108702867124],[-0.06931405514478683]
JZZ,[0.654012639158295],[0.6537477970123291]
