,treino,previsto
gamma1,[0.4447032857849972],[0.4430675506591797]
gamma2,[0.22480756642724742],[0.2351604402065277]
gamma3,[0.34956656460106916],[0.3493846356868744]
gamma4,[0.9987401105306296],[0.9699910879135132]
JXX,[0.09623810762339824],[0.09584414958953857]
JXY,[-0.3083363533238903],[-0.3303583264350891]
JXZ,[0.6897021771332552],[0.6804957389831543]
JYX,[-0.42280512918931357],[-0.3910497725009918]
JYY,[0.02069005261749912],[0.014590595848858356]
JYZ,[-0.31237144182748366],[-0.30882418155670166]
JZX,[-0.16901214393001562],[-0.1819663792848587]
JZY,[0.9477175926021346],[0.9272165298461914]
JZZ,[-0.7925346218433929],[-0.7798498272895813]
