,treino,previsto
gamma1,[0.8146899866097305],[0.8145867586135864]
gamma2,[0.29400468375380795],[0.29391083121299744]
gamma3,[0.8827730256872423],[0.8826637268066406]
gamma4,[0.07371467624776351],[0.07373680174350739]
JXX,[-0.5802975109269655],[-0.5801821351051331]
JXY,[-0.2292041774699194],[-0.22917406260967255]
JXZ,[-0.6098793712177752],[-0.6097801923751831]
JYX,[-0.208798665868833],[-0.2087632417678833]
JYY,[0.12536156185456337],[0.12545479834079742]
JYZ,[0.29162154792135575],[0.2915511131286621]
JZX,[-0.49062788968221094],[-0.4906051754951477]
JZY,[-0.28781508340846984],[-0.28773176670074463]
JZZ,[-0.6434039479658533],[-0.6433197259902954]
