,treino,previsto
gamma1,[0.32940149633680194],[0.33189794421195984]
gamma2,[0.9736705910655336],[0.9746918678283691]
gamma3,[0.36125339691759495],[0.32632818818092346]
gamma4,[0.5536247242149994],[0.5337902307510376]
JXX,[0.4833378712291465],[0.4596446454524994]
JXY,[0.881607766294431],[0.9217756390571594]
JXZ,[0.49480679370832537],[0.4897707998752594]
JYX,[0.8162851259228743],[0.7317349910736084]
JYY,[-0.7780454366399887],[-0.7928240299224854]
JYZ,[0.15954636399993594],[0.4503084421157837]
JZX,[-0.1362653751785774],[-0.002173507586121559]
JZY,[-0.4690148425097873],[-0.41571569442749023]
JZZ,[0.7208183359380034],[0.7968100905418396]
