,treino,previsto
gamma1,[0.9600263501514082],[0.9600635766983032]
gamma2,[0.020403045679433296],[0.020443102344870567]
gamma3,[0.013040577948985943],[0.013074851594865322]
gamma4,[0.4360070478690712],[0.4359268546104431]
JXX,[0.09360310707326613],[0.09361939877271652]
JXY,[-0.751762199047689],[-0.7517867088317871]
JXZ,[-0.439812774919055],[-0.43977221846580505]
JYX,[-0.13859556840738407],[-0.13869740068912506]
JYY,[-0.9662104295599947],[-0.9661855697631836]
JYZ,[-0.0036095623537208965],[-0.003662563394755125]
JZX,[0.9040597871742617],[0.90392005443573]
JZY,[-0.14288133986122675],[-0.14292287826538086]
JZZ,[0.6680513959234107],[0.6680241823196411]
