,treino,previsto
gamma1,[0.22192817569031764],[0.2218785285949707]
gamma2,[0.5366800081748135],[0.5366184711456299]
gamma3,[0.2766826434414502],[0.2767334580421448]
gamma4,[0.1726645292853689],[0.17267990112304688]
JXX,[-0.527903820525131],[-0.5277721881866455]
JXY,[-0.7936679315385684],[-0.7937190532684326]
JXZ,[-0.20788351477863798],[-0.20778067409992218]
JYX,[-0.6900554583951795],[-0.6900237798690796]
JYY,[-0.8669698086408202],[-0.8670222163200378]
JYZ,[-0.19681797102985032],[-0.19677697122097015]
JZX,[0.8359100861754378],[0.8358280658721924]
JZY,[0.600904702991617],[0.6009491682052612]
JZZ,[0.5303252050108769],[0.5302520394325256]
