,treino,previsto
gamma1,[0.3020437047996458],[0.34446656703948975]
gamma2,[0.335063350697719],[0.329145610332489]
gamma3,[0.14195051753283405],[0.1409502625465393]
gamma4,[0.7434142500319177],[0.7603722214698792]
JXX,[-0.2769544501718497],[-0.35701146721839905]
JXY,[-0.039038668797412024],[-0.01363515667617321]
JXZ,[-0.16609474678867042],[-0.14374001324176788]
JYX,[-0.10648149243215355],[-0.134157195687294]
JYY,[-0.1809685401002077],[-0.23164600133895874]
JYZ,[0.31541165278854155],[0.3104517161846161]
JZX,[-0.48228923621984343],[-0.554535448551178]
JZY,[0.2699918482069683],[0.2562388777732849]
JZZ,[-0.97974325274531],[-1.0175180435180664]
