,treino,previsto
gamma1,[0.06894367026654058],[0.08145425468683243]
gamma2,[0.3200841593158338],[0.2815327048301697]
gamma3,[0.8250920180563502],[0.7978036403656006]
gamma4,[0.8431495877420079],[0.8593958020210266]
JXX,[0.7765361529049761],[0.7424601912498474]
JXY,[-0.20001120805797412],[-0.16740106046199799]
JXZ,[0.17724036554846423],[0.22310484945774078]
JYX,[0.7195733470855228],[0.7075768113136292]
JYY,[-0.5429215932707987],[-0.5448811650276184]
JYZ,[0.03143456804703959],[-0.03388138860464096]
JZX,[0.16746097114721215],[0.13150836527347565]
JZY,[0.8943990439534582],[0.8143107295036316]
JZZ,[-0.9356372202874645],[-0.8933969140052795]
