,treino,previsto
gamma1,[0.20136711521936546],[0.20129159092903137]
gamma2,[0.8194173185392594],[0.8193026185035706]
gamma3,[0.6529689056798653],[0.652910590171814]
gamma4,[0.1474309569583241],[0.14735962450504303]
JXX,[-0.047683475541308695],[-0.047712162137031555]
JXY,[0.2604381086377703],[0.26049959659576416]
JXZ,[-0.19207806086305412],[-0.19186623394489288]
JYX,[0.8400480253526539],[0.8403023481369019]
JYY,[-0.9662967591954601],[-0.966450572013855]
JYZ,[0.9752211014725047],[0.9751954078674316]
JZX,[0.40822888780668243],[0.4085054397583008]
JZY,[0.6079899762951007],[0.6079501509666443]
JZZ,[0.6062115991790376],[0.6060742139816284]
