,treino,previsto
gamma1,[0.1224371932122491],[0.12245284020900726]
gamma2,[0.36368262779173954],[0.3636848032474518]
gamma3,[0.27610317904813664],[0.27616190910339355]
gamma4,[0.7548561847919819],[0.7548385262489319]
JXX,[-0.7080903986407061],[-0.7080674171447754]
JXY,[-0.6216493565570518],[-0.6216610670089722]
JXZ,[0.6782149346653983],[0.6780720353126526]
JYX,[0.08109353634994831],[0.08122535049915314]
JYY,[-0.43827709921987545],[-0.43826210498809814]
JYZ,[-0.3291341864361108],[-0.32909250259399414]
JZX,[0.08661423184359096],[0.08656320720911026]
JZY,[-0.34445619760718293],[-0.3445165753364563]
JZZ,[0.41979916256951233],[0.419687420129776]
