,treino,previsto
gamma1,[0.6489745531369242],[0.6334235668182373]
gamma2,[0.9009004917506227],[1.040671706199646]
gamma3,[0.11320596465314436],[0.086433544754982]
gamma4,[0.46906904778216374],[0.3424145579338074]
JXX,[0.24580338977940386],[0.2915513515472412]
JXY,[0.4835739785214588],[0.4256095290184021]
JXZ,[0.5903871311313933],[0.7160738706588745]
JYX,[0.8849005675541006],[0.8303680419921875]
JYY,[0.4797971494798614],[0.49391093850135803]
JYZ,[0.844649993330834],[0.9044557213783264]
JZX,[-0.9419895434327705],[-0.9103024005889893]
JZY,[-0.0687546912437893],[-0.046337950974702835]
JZZ,[0.8867134339966274],[0.9562126398086548]
