,treino,previsto
gamma1,[0.4336456836623859],[0.4153870940208435]
gamma2,[0.06985542357461894],[0.08784624189138412]
gamma3,[0.09071301334386506],[0.0845666229724884]
gamma4,[0.42451918914251396],[0.3815542757511139]
JXX,[-0.35233447033367526],[-0.30017775297164917]
JXY,[-0.6983016521509962],[-0.72133868932724]
JXZ,[0.3018689460797075],[0.32247495651245117]
JYX,[-0.8551274266649145],[-0.8391223549842834]
JYY,[0.0717640086133784],[0.0921076238155365]
JYZ,[-0.2686221661748289],[-0.2008470892906189]
JZX,[-0.8840021504505864],[-0.9238960146903992]
JZY,[0.014871466378840514],[-0.0309591181576252]
JZZ,[-0.9250086831160302],[-0.8953474164009094]
