,treino,previsto
gamma1,[0.6924227459953175],[0.6923434734344482]
gamma2,[0.21237676835833108],[0.2123573124408722]
gamma3,[0.9711059513537736],[0.970923125743866]
gamma4,[0.07035548430116423],[0.07039783895015717]
JXX,[0.1623042650091293],[0.16226813197135925]
JXY,[-0.6104910089317266],[-0.6104049682617188]
JXZ,[0.9305022141222223],[0.9304147362709045]
JYX,[0.8479528033535886],[0.847700834274292]
JYY,[-0.06572264360605207],[-0.06582345068454742]
JYZ,[0.3269412890601211],[0.32696935534477234]
JZX,[-0.5709540605240639],[-0.5707957148551941]
JZY,[-0.5566075009475187],[-0.5566642880439758]
JZZ,[-0.4229551332374877],[-0.4227624535560608]
