,treino,previsto
gamma1,[0.1224371932122491],[0.1250019073486328]
gamma2,[0.36368262779173954],[0.3615156412124634]
gamma3,[0.27610317904813664],[0.2647460401058197]
gamma4,[0.7548561847919819],[0.7620835900306702]
JXX,[-0.7080903986407061],[-0.6965749859809875]
JXY,[-0.6216493565570518],[-0.5596655011177063]
JXZ,[0.6782149346653983],[0.6731472015380859]
JYX,[0.08109353634994831],[0.06945368647575378]
JYY,[-0.43827709921987545],[-0.4321530759334564]
JYZ,[-0.3291341864361108],[-0.30385082960128784]
JZX,[0.08661423184359096],[0.08185077458620071]
JZY,[-0.34445619760718293],[-0.34942081570625305]
JZZ,[0.41979916256951233],[0.4017684757709503]
