,treino,previsto
gamma1,[0.4129795419466491],[0.4128915071487427]
gamma2,[0.1831484806929179],[0.18312861025333405]
gamma3,[0.34609910428201995],[0.34609273076057434]
gamma4,[0.6307958737099989],[0.6305044293403625]
JXX,[0.9567097167419933],[0.9559901356697083]
JXY,[-0.8909546899790852],[-0.8905434608459473]
JXZ,[0.45132344234864985],[0.45131346583366394]
JYX,[-0.032276513351115144],[-0.03246890753507614]
JYY,[0.8834464903328145],[0.8827129602432251]
JYZ,[-0.18629102358141614],[-0.18628066778182983]
JZX,[0.8384859880845335],[0.8381674289703369]
JZY,[-0.6817044022321801],[-0.6814303398132324]
JZZ,[0.9895603626777179],[0.9887875318527222]
