,treino,previsto
gamma1,[0.9656464075038401],[0.9692808389663696]
gamma2,[0.6626277675625857],[0.6724613904953003]
gamma3,[0.5405812068681397],[0.55318284034729]
gamma4,[0.3879011757932824],[0.3817766606807709]
JXX,[-0.8193202914613009],[-0.8250782489776611]
JXY,[0.9012671291268881],[0.8983798027038574]
JXZ,[-0.7000578940080291],[-0.6847880482673645]
JYX,[0.47874074135255906],[0.4839933514595032]
JYY,[0.6824847918698727],[0.6739915609359741]
JYZ,[0.49427390372409374],[0.4750911593437195]
JZX,[-0.39612480866150146],[-0.39021095633506775]
JZY,[-0.2967521262767605],[-0.32442280650138855]
JZZ,[0.44372522715230645],[0.44926390051841736]
