,treino,previsto
gamma1,[0.6014570387277332],[0.6013942360877991]
gamma2,[0.558190047753348],[0.5582693219184875]
gamma3,[0.661321085872001],[0.6614992022514343]
gamma4,[0.145302794710103],[0.14521168172359467]
JXX,[-0.05085864262290385],[-0.05087871477007866]
JXY,[0.31494500531451064],[0.3148287832736969]
JXZ,[0.3328209422496762],[0.33278897404670715]
JYX,[-0.7147992941492645],[-0.7146530747413635]
JYY,[-0.9782791138198641],[-0.9783865213394165]
JYZ,[-0.25049101587327116],[-0.2506732940673828]
JZX,[-0.4519037210433372],[-0.4519440829753876]
JZY,[0.6206961044701675],[0.6206002831459045]
JZZ,[0.3811853060773691],[0.38103821873664856]
