,treino,previsto
gamma1,[0.3782620689642363],[0.3782597482204437]
gamma2,[0.8065579451696627],[0.8065981864929199]
gamma3,[0.5360527507784326],[0.5359459519386292]
gamma4,[0.7612906482611979],[0.761206865310669]
JXX,[-0.5516290503053471],[-0.5518342852592468]
JXY,[0.8652805931946954],[0.8652092814445496]
JXZ,[0.8914872178362601],[0.8913700580596924]
JYX,[-0.9544828513835384],[-0.9543969035148621]
JYY,[0.6938338920461884],[0.6935446262359619]
JYZ,[0.42874637280803074],[0.42846444249153137]
JZX,[0.3597921523702974],[0.35970067977905273]
JZY,[-0.9788509022210652],[-0.97850501537323]
JZZ,[0.6566237432499853],[0.6562936902046204]
