,treino,previsto
gamma1,[0.019670627013046116],[0.019584545865654945]
gamma2,[0.7356439915697156],[0.7355263829231262]
gamma3,[0.5167042010454891],[0.5164512991905212]
gamma4,[0.604345615005703],[0.6043980121612549]
JXX,[-0.9148685728348462],[-0.91438227891922]
JXY,[0.1793729008033076],[0.17935487627983093]
JXZ,[-0.961378377305627],[-0.9616265892982483]
JYX,[0.028252278584538937],[0.028245016932487488]
JYY,[0.9532922726476154],[0.9528788328170776]
JYZ,[-0.4195063861588373],[-0.41934043169021606]
JZX,[0.9484396940028381],[0.9481542706489563]
JZY,[0.2720623438569263],[0.2719821035861969]
JZZ,[0.7679741736944607],[0.767600417137146]
