,treino,previsto
gamma1,[0.5027374637992491],[0.49009695649147034]
gamma2,[0.6354437055408811],[0.6328263282775879]
gamma3,[0.9537326488081348],[0.9372127056121826]
gamma4,[0.9867575298826218],[1.012171745300293]
JXX,[0.49458253244656714],[0.5373809337615967]
JXY,[-0.5944947353081806],[-0.5580422282218933]
JXZ,[-0.5896826918056928],[-0.6261216998100281]
JYX,[0.2015142521860358],[0.1945468932390213]
JYY,[-0.8864854257125787],[-0.8371136784553528]
JYZ,[0.5526572011585595],[0.5273773074150085]
JZX,[0.5288222950287738],[0.5423581600189209]
JZY,[-0.9165274392042873],[-0.9075760841369629]
JZZ,[0.36678988670422896],[0.408988356590271]
