,treino,previsto
gamma1,[0.032970053106801234],[0.03295305743813515]
gamma2,[0.5534088231622266],[0.553336501121521]
gamma3,[0.11908428131617588],[0.11907222121953964]
gamma4,[0.6217082950146219],[0.6216989159584045]
JXX,[0.8246867187194984],[0.8245286345481873]
JXY,[-0.011300505399674421],[-0.011251678690314293]
JXZ,[0.13160290901296068],[0.13161399960517883]
JYX,[-0.2934101986418025],[-0.2932727038860321]
JYY,[-0.7727670059828655],[-0.7725998163223267]
JYZ,[-0.28923988122014976],[-0.2894182503223419]
JZX,[-0.654314601549209],[-0.6543094515800476]
JZY,[-0.7562164546869965],[-0.7561225891113281]
JZZ,[-0.6778506698956863],[-0.6777222752571106]
