,treino,previsto
gamma1,[0.1078566833027319],[0.09982579946517944]
gamma2,[0.6829499338332965],[0.6394888162612915]
gamma3,[0.6006683617497799],[0.515535295009613]
gamma4,[0.281924522856405],[0.245465487241745]
JXX,[0.36400912117595574],[0.43724244832992554]
JXY,[-0.8167947838408722],[-0.8188775777816772]
JXZ,[0.2356326977228047],[0.23258598148822784]
JYX,[0.6838398091019124],[0.7581373453140259]
JYY,[0.6691005771521796],[0.7363837957382202]
JYZ,[0.030035451582698824],[0.04812416806817055]
JZX,[0.26207593059135315],[0.25476139783859253]
JZY,[-0.2615403318741629],[-0.2634044885635376]
JZZ,[0.05603724403844934],[0.19514264166355133]
