,treino,previsto
gamma1,[0.8171021370471873],[0.8028751015663147]
gamma2,[0.10262153210647951],[0.11942339688539505]
gamma3,[0.8637801669945345],[0.8478178977966309]
gamma4,[0.09579963227952204],[0.08595987409353256]
JXX,[0.5830518719229318],[0.5507858991622925]
JXY,[-0.9379325277179429],[-0.9392115473747253]
JXZ,[0.6754839419077516],[0.6437968611717224]
JYX,[-0.3650404551155011],[-0.38776683807373047]
JYY,[-0.9759637002846477],[-0.9534010291099548]
JYZ,[-0.8606398745222861],[-0.8613120317459106]
JZX,[0.004466619199896327],[0.003268919885158539]
JZY,[0.2631832108452503],[0.2506907880306244]
JZZ,[0.642755936407096],[0.6372833847999573]
