,treino,previsto
gamma1,[0.46153301006262504],[0.4693898558616638]
gamma2,[0.9934850076016687],[0.9824534058570862]
gamma3,[0.9925719941586278],[0.9393948912620544]
gamma4,[0.24267553557344324],[0.23187090456485748]
JXX,[0.07816312921162116],[0.08661619573831558]
JXY,[-0.42160711272055895],[-0.40690839290618896]
JXZ,[-0.9399261828977459],[-0.946144700050354]
JYX,[0.3072715077855237],[0.28989019989967346]
JYY,[-0.5799826089005378],[-0.5528191328048706]
JYZ,[-0.48544605004078156],[-0.47312721610069275]
JZX,[-0.20560347473354512],[-0.20435817539691925]
JZY,[0.2831563075493455],[0.2750381827354431]
JZZ,[0.9776224208074429],[0.9414253234863281]
