,treino,previsto
gamma1,[0.08318062375973012],[0.08318536728620529]
gamma2,[0.8471707277144365],[0.8471457362174988]
gamma3,[0.22742352882594852],[0.22740007936954498]
gamma4,[0.7892196963182868],[0.7891427278518677]
JXX,[-0.2588867178073859],[-0.2588125765323639]
JXY,[0.9003708718663839],[0.9002878069877625]
JXZ,[-0.5999070717600636],[-0.5998849272727966]
JYX,[-0.4060517541652038],[-0.4060078561306]
JYY,[-0.16375735637421673],[-0.1637100875377655]
JYZ,[-0.5253895926232446],[-0.5253598093986511]
JZX,[-0.3972357250361773],[-0.39718466997146606]
JZY,[0.6815276211230483],[0.6814801692962646]
JZZ,[-0.020560708179608644],[-0.020650280639529228]
