,treino,previsto
gamma1,[0.6489745531369242],[0.6410080790519714]
gamma2,[0.9009004917506227],[1.0185799598693848]
gamma3,[0.11320596465314436],[0.09350209683179855]
gamma4,[0.46906904778216374],[0.3748015761375427]
JXX,[0.24580338977940386],[0.2780238091945648]
JXY,[0.4835739785214588],[0.44256094098091125]
JXZ,[0.5903871311313933],[0.6886714696884155]
JYX,[0.8849005675541006],[0.8439378142356873]
JYY,[0.4797971494798614],[0.4936707019805908]
JYZ,[0.844649993330834],[0.8992770314216614]
JZX,[-0.9419895434327705],[-0.917656660079956]
JZY,[-0.0687546912437893],[-0.053121089935302734]
JZZ,[0.8867134339966274],[0.9402280449867249]
