,treino,previsto
gamma1,[0.06769746793327747],[0.06768883764743805]
gamma2,[0.6432199124652143],[0.6431547403335571]
gamma3,[0.992596950931832],[0.992527961730957]
gamma4,[0.2072168217777952],[0.20717957615852356]
JXX,[0.9318383760498881],[0.9317927956581116]
JXY,[0.11951182799780913],[0.11949720233678818]
JXZ,[-0.05265622357871269],[-0.0526113361120224]
JYX,[0.046558950858430315],[0.046500030905008316]
JYY,[0.5353201261569036],[0.535292387008667]
JYZ,[0.9772120554889443],[0.977135419845581]
JZX,[-0.1588688834408547],[-0.15887941420078278]
JZY,[-0.5381276295407358],[-0.5381019115447998]
JZZ,[-0.2506249305871704],[-0.25060394406318665]
