,treino,previsto
gamma1,[0.1078566833027319],[0.10787025839090347]
gamma2,[0.6829499338332965],[0.6829289197921753]
gamma3,[0.6006683617497799],[0.6006289720535278]
gamma4,[0.281924522856405],[0.28192394971847534]
JXX,[0.36400912117595574],[0.363953560590744]
JXY,[-0.8167947838408722],[-0.8167619109153748]
JXZ,[0.2356326977228047],[0.23563812673091888]
JYX,[0.6838398091019124],[0.6838154196739197]
JYY,[0.6691005771521796],[0.6690443754196167]
JYZ,[0.030035451582698824],[0.03003743104636669]
JZX,[0.26207593059135315],[0.2620750963687897]
JZY,[-0.2615403318741629],[-0.26155462861061096]
JZZ,[0.05603724403844934],[0.056016791611909866]
