,treino,previsto
gamma1,[0.7721889738983578],[0.8125271797180176]
gamma2,[0.18869807513374803],[0.19205598533153534]
gamma3,[0.6965874841150429],[0.7286666631698608]
gamma4,[0.3788296503970776],[0.35106414556503296]
JXX,[0.6289562908956208],[0.6071217656135559]
JXY,[-0.8079541131822325],[-0.9347823262214661]
JXZ,[0.8487886289478179],[0.8735575079917908]
JYX,[0.46084424662008483],[0.45835158228874207]
JYY,[-0.4853199609607668],[-0.5210204720497131]
JYZ,[-0.14503240733877742],[-0.17637155950069427]
JZX,[-0.9317073426318694],[-1.0029901266098022]
JZY,[-0.7054176645697114],[-0.7272555828094482]
JZZ,[0.3028950750933861],[0.28322067856788635]
