,treino,previsto
gamma1,[0.7392757413295123],[0.5639343857765198]
gamma2,[0.6086024057140853],[0.47772982716560364]
gamma3,[0.544902257226378],[0.44871243834495544]
gamma4,[0.7561000117457155],[0.32214125990867615]
JXX,[0.463062260800422],[0.5328339338302612]
JXY,[0.8281235810354926],[0.6070267558097839]
JXZ,[-0.9253401087353526],[-0.7566549181938171]
JYX,[-0.9912169497951127],[-0.6934727430343628]
JYY,[0.9869002798407656],[0.8031669855117798]
JYZ,[-0.3629632766081221],[-0.2698588967323303]
JZX,[-0.6067349693132549],[-0.46134209632873535]
JZY,[-0.0025512448825091294],[0.13697463274002075]
JZZ,[0.102887313876878],[-0.027091244235634804]
