,treino,previsto
gamma1,[0.6171172778569672],[0.6169499754905701]
gamma2,[0.5033938387110474],[0.5033136010169983]
gamma3,[0.9661979651974597],[0.9658412337303162]
gamma4,[0.5282662248683354],[0.5281247496604919]
JXX,[0.1406568462737463],[0.1403803527355194]
JXY,[0.2644659911575571],[0.26454511284828186]
JXZ,[0.634007719766547],[0.63396817445755]
JYX,[-0.44541829110731035],[-0.44544366002082825]
JYY,[0.30371993601715563],[0.3034042418003082]
JYZ,[0.7816219111185623],[0.7812597155570984]
JZX,[0.8176570464277362],[0.8172290325164795]
JZY,[-0.626974881004831],[-0.6266135573387146]
JZZ,[0.30345421888232527],[0.30313801765441895]
