,treino,previsto
gamma1,[0.6813356007212419],[0.6812062859535217]
gamma2,[0.07656360097525783],[0.0765208899974823]
gamma3,[0.8604384375404843],[0.8603485822677612]
gamma4,[0.46768415435630595],[0.46753668785095215]
JXX,[-0.837818670752231],[-0.8377713561058044]
JXY,[0.2136055782918591],[0.21349449455738068]
JXZ,[0.9954557010352247],[0.9952763915061951]
JYX,[-0.7188265123325341],[-0.7186736464500427]
JYY,[0.704572082529658],[0.7044817209243774]
JYZ,[-0.7008545123478973],[-0.7007248997688293]
JZX,[-0.16795724132015688],[-0.16807566583156586]
JZY,[0.7918128551580439],[0.7918125987052917]
JZZ,[-0.40060849944206534],[-0.40058040618896484]
