,treino,previsto
gamma1,[0.49491787839107704],[0.44022369384765625]
gamma2,[0.468537729401701],[0.4997328519821167]
gamma3,[0.12795722422850875],[0.12734222412109375]
gamma4,[0.7842725419704123],[0.6690890192985535]
JXX,[-0.8583821458818548],[-0.762444257736206]
JXY,[-0.1308244925173181],[-0.10485806316137314]
JXZ,[-0.5075004579580764],[-0.5594434142112732]
JYX,[-0.10862841764031073],[-0.2173410803079605]
JYY,[-0.48782436581795374],[-0.46724146604537964]
JYZ,[0.7229725984230293],[0.7542988657951355]
JZX,[0.12087053202375708],[0.0707903802394867]
JZY,[0.48856793143996136],[0.524429440498352]
JZZ,[0.8530443734443238],[0.9695324301719666]
