,treino,previsto
gamma1,[0.08480848096926208],[0.0848044902086258]
gamma2,[0.2766402721949226],[0.276461660861969]
gamma3,[0.19380153749016393],[0.19360625743865967]
gamma4,[0.5680101195136193],[0.567718505859375]
JXX,[0.5203229566195489],[0.5201234221458435]
JXY,[0.027633204606499318],[0.027656715363264084]
JXZ,[0.9942043682387769],[0.9936442375183105]
JYX,[0.07844212328817135],[0.07830626517534256]
JYY,[0.8711112121391873],[0.8708199262619019]
JYZ,[-0.7433546640431199],[-0.7431893944740295]
JZX,[-0.012052371670506545],[-0.011933592148125172]
JZY,[-0.7209990500522725],[-0.7206642627716064]
JZZ,[-0.974270856363531],[-0.974044680595398]
