,treino,previsto
gamma1,[0.0945328964594655],[0.0945366695523262]
gamma2,[0.5116781206617862],[0.5116111040115356]
gamma3,[0.15482334864507363],[0.15483111143112183]
gamma4,[0.2742295663585874],[0.2743013799190521]
JXX,[0.057870765880824626],[0.057966820895671844]
JXY,[0.1714937094997233],[0.17133387923240662]
JXZ,[0.6866524104671512],[0.6866864562034607]
JYX,[0.7972892825291862],[0.7973852157592773]
JYY,[0.7643730549373535],[0.7644407153129578]
JYZ,[-0.27060839601498476],[-0.27053746581077576]
JZX,[0.897680879601374],[0.8976009488105774]
JZY,[-0.15185093946021722],[-0.15177923440933228]
JZZ,[-0.3876324692199542],[-0.38757437467575073]
