,treino,previsto
gamma1,[0.32940149633680194],[0.3357347846031189]
gamma2,[0.9736705910655336],[0.9942694306373596]
gamma3,[0.36125339691759495],[0.3489651381969452]
gamma4,[0.5536247242149994],[0.5603892803192139]
JXX,[0.4833378712291465],[0.5016672611236572]
JXY,[0.881607766294431],[0.9172044992446899]
JXZ,[0.49480679370832537],[0.48735520243644714]
JYX,[0.8162851259228743],[0.7852429747581482]
JYY,[-0.7780454366399887],[-0.7768625617027283]
JYZ,[0.15954636399993594],[0.30886515974998474]
JZX,[-0.1362653751785774],[-0.06226939707994461]
JZY,[-0.4690148425097873],[-0.45951056480407715]
JZZ,[0.7208183359380034],[0.7720557451248169]
