,treino,previsto
gamma1,[0.4591337627723967],[0.462514191865921]
gamma2,[0.45313243113814283],[0.42738449573516846]
gamma3,[0.4949826938891777],[0.4998488426208496]
gamma4,[0.19223084224268217],[0.19042536616325378]
JXX,[-0.5465882812379024],[-0.537081241607666]
JXY,[0.9245900716687656],[0.9044356346130371]
JXZ,[-0.7473382026982809],[-0.7323085069656372]
JYX,[0.4096338457432158],[0.42735880613327026]
JYY,[-0.8296294638984947],[-0.8459736108779907]
JYZ,[-0.5051180301418299],[-0.5033338665962219]
JZX,[0.9982570783251581],[1.0366036891937256]
JZY,[-0.5812047362221744],[-0.5670149326324463]
JZZ,[0.283736870144214],[0.29700377583503723]
