,treino,previsto
gamma1,[0.9656464075038401],[0.9339191317558289]
gamma2,[0.6626277675625857],[0.6508190035820007]
gamma3,[0.5405812068681397],[0.554173469543457]
gamma4,[0.3879011757932824],[0.35460108518600464]
JXX,[-0.8193202914613009],[-0.771233320236206]
JXY,[0.9012671291268881],[0.868890106678009]
JXZ,[-0.7000578940080291],[-0.6470546722412109]
JYX,[0.47874074135255906],[0.4563603401184082]
JYY,[0.6824847918698727],[0.6612579226493835]
JYZ,[0.49427390372409374],[0.41354605555534363]
JZX,[-0.39612480866150146],[-0.3570372462272644]
JZY,[-0.2967521262767605],[-0.3570810854434967]
JZZ,[0.44372522715230645],[0.4553486704826355]
