,treino,previsto
gamma1,[0.6166500426836184],[0.6164160966873169]
gamma2,[0.04089576548481155],[0.04085955768823624]
gamma3,[0.3790196043954357],[0.3788175880908966]
gamma4,[0.703480392293747],[0.7030175924301147]
JXX,[-0.0739852843699571],[-0.07386677712202072]
JXY,[-0.2533761372099159],[-0.253181129693985]
JXZ,[-0.7229211749710895],[-0.7227743268013]
JYX,[0.7331236999726827],[0.7329097390174866]
JYY,[-0.9871298918377533],[-0.9866510033607483]
JYZ,[0.005564160104416738],[0.005462980363518]
JZX,[0.7965959400638762],[0.7962225079536438]
JZY,[-0.838370705633998],[-0.8382747769355774]
JZZ,[0.10854093635657214],[0.10822547227144241]
