,treino,previsto
gamma1,[0.260437193601329],[0.26048192381858826]
gamma2,[0.32736701494461073],[0.32731983065605164]
gamma3,[0.26791084434471324],[0.2679368853569031]
gamma4,[0.10764393786564574],[0.10758249461650848]
JXX,[0.3542516536005407],[0.3540930151939392]
JXY,[0.5698227121742216],[0.5697815418243408]
JXZ,[0.04093231440616307],[0.04095114767551422]
JYX,[0.022983404986520295],[0.022942908108234406]
JYY,[-0.21293067414807032],[-0.2128903865814209]
JYZ,[0.993633874195798],[0.9933607578277588]
JZX,[-0.42127010845085855],[-0.42113691568374634]
JZY,[-0.7034804136306108],[-0.7033032178878784]
JZZ,[-0.47784285086888345],[-0.47781795263290405]
