,treino,previsto
gamma1,[0.06894367026654058],[0.0841044932603836]
gamma2,[0.3200841593158338],[0.2587088346481323]
gamma3,[0.8250920180563502],[0.7798725962638855]
gamma4,[0.8431495877420079],[0.8530581593513489]
JXX,[0.7765361529049761],[0.7161070108413696]
JXY,[-0.20001120805797412],[-0.15283766388893127]
JXZ,[0.17724036554846423],[0.25415685772895813]
JYX,[0.7195733470855228],[0.6957910060882568]
JYY,[-0.5429215932707987],[-0.5402991771697998]
JYZ,[0.03143456804703959],[-0.06358161568641663]
JZX,[0.16746097114721215],[0.11675308644771576]
JZY,[0.8943990439534582],[0.7672706246376038]
JZZ,[-0.9356372202874645],[-0.8642576932907104]
