,treino,previsto
gamma1,[0.1224371932122491],[0.12745212018489838]
gamma2,[0.36368262779173954],[0.3451520502567291]
gamma3,[0.27610317904813664],[0.24157188832759857]
gamma4,[0.7548561847919819],[0.7395736575126648]
JXX,[-0.7080903986407061],[-0.647394597530365]
JXY,[-0.6216493565570518],[-0.43546128273010254]
JXZ,[0.6782149346653983],[0.6463399529457092]
JYX,[0.08109353634994831],[0.061768099665641785]
JYY,[-0.43827709921987545],[-0.41022560000419617]
JYZ,[-0.3291341864361108],[-0.26111096143722534]
JZX,[0.08661423184359096],[0.06640046834945679]
JZY,[-0.34445619760718293],[-0.3534238040447235]
JZZ,[0.41979916256951233],[0.3706572651863098]
