,treino,previsto
gamma1,[0.24367290875238423],[0.26670968532562256]
gamma2,[0.6032954889560167],[0.5270875692367554]
gamma3,[0.3705706730496453],[0.40825194120407104]
gamma4,[0.4904333667289672],[0.41626840829849243]
JXX,[-0.8329589576928287],[-1.0272290706634521]
JXY,[-0.6552513842656074],[-0.578825056552887]
JXZ,[0.3676231008548627],[0.360955148935318]
JYX,[-0.6772806584499753],[-0.6435887813568115]
JYY,[0.8984180459228328],[0.7569022178649902]
JYZ,[0.6886560437412614],[0.5536609888076782]
JZX,[0.4847330814617574],[0.3745730221271515]
JZY,[-0.069108702867124],[-0.01589045114815235]
JZZ,[0.654012639158295],[0.6294092535972595]
