,treino,previsto
gamma1,[0.03679243409125621],[0.036797814071178436]
gamma2,[0.16929218901354948],[0.169308602809906]
gamma3,[0.9969758715015804],[0.9969924688339233]
gamma4,[0.7468020404306424],[0.7467523813247681]
JXX,[0.23428295333990445],[0.23427492380142212]
JXY,[0.7802771064051002],[0.7802906036376953]
JXZ,[-0.0870255604078809],[-0.0870404914021492]
JYX,[0.42280951861583915],[0.42280784249305725]
JYY,[0.8739626067564656],[0.8739334940910339]
JYZ,[0.041119655381228304],[0.04113607481122017]
JZX,[0.46768034181955564],[0.46766382455825806]
JZY,[0.45606486545824554],[0.45607611536979675]
JZZ,[0.7163732339305475],[0.7163669466972351]
