,treino,previsto
gamma1,[0.5137132085026757],[0.5136853456497192]
gamma2,[0.989492910377551],[0.9893798828125]
gamma3,[0.6935102614314381],[0.6934356093406677]
gamma4,[0.37842657112328093],[0.37840330600738525]
JXX,[-0.1829282414910125],[-0.18285144865512848]
JXY,[0.0839440182091924],[0.08412407338619232]
JXZ,[0.7240732329585464],[0.7239840626716614]
JYX,[-0.6466687116091123],[-0.6467428803443909]
JYY,[-0.5496809588437066],[-0.5495408177375793]
JYZ,[-0.9418054934637778],[-0.9416325688362122]
JZX,[-0.7666989331142724],[-0.7666072249412537]
JZY,[-0.9823887482258662],[-0.9823012351989746]
JZZ,[-0.6866193298332723],[-0.6866141557693481]
