,treino,previsto
gamma1,[0.054617199380894155],[0.042936939746141434]
gamma2,[0.15353892261428348],[0.14858336746692657]
gamma3,[0.3013103050049145],[0.2892451882362366]
gamma4,[0.8115833565754772],[0.7819452881813049]
JXX,[-0.007687660399174678],[-0.029280250892043114]
JXY,[0.7135280737268923],[0.7054578065872192]
JXZ,[-0.8226115535480942],[-0.8192044496536255]
JYX,[-0.24315592595339663],[-0.2673044800758362]
JYY,[-0.901677355883151],[-0.8923385739326477]
JYZ,[0.29958585220893297],[0.2804487645626068]
JZX,[-0.6216283712709287],[-0.6203615069389343]
JZY,[-0.3820884662461579],[-0.3412255644798279]
JZZ,[0.6372988369628543],[0.64179927110672]
